id,product_id,property_type_id,value,,
268,44,18,"['Mắt mũi môi','Em ơi','10 ngày rồi yêu','Nếu có thể được yêu','Ta là ai','Chuông gió','Cô gái đến từ hôm qua','Ngủ sớm nhé','Mưa ngọt ngào']",,
269,44,19,10-2020,,
270,44,20,Nhạc trẻ,,
271,45,16,Lynk Lee,,
272,45,17,Lee Lee Lin,,
273,45,18,"['Ngày ấy bạn và tôi','Ngày chia tay','Khi anh bối rối','Tiếng mưa','Đừng tìm lại nhau','Nhật kí lớp tôi','Chẳng cần em nói','Đôi mắt','Mưa ngọt ngào']",,
274,45,19,06-2018,,
275,45,20,Nhạc trẻ,,
276,46,16,Binz,,
277,46,17,The Country,,
278,46,18,"['BlackJack','Bigcityboi','OK','ToGetHer','Phía sau em','Sao cũng được','021','SOFAR','They said','Forever love']",,
279,46,19,12-2017,,
280,46,20,Rap,,
281,47,16,Binz,,
282,47,17,Coconut,,
283,47,18,"['Crying over you','Krazy','Tát nước đầu đình','Chàng trai đang thất tình','LoveNote','Deep sea','Bên anh đêm nay','Nơi em là bình yên']",,
284,47,19,01-2019,,
285,47,20,Rap,,
286,48,16,Binz,,
287,48,17,Black rose,,
288,48,18,"['Quên anh đi','Nếu như là định mệnh','Rời xa','Hoa hồng dại','Nơi anh về','Bâng khuâng','Sau lưng anh sẽ là','Điều bí mật','GATO']",,
289,48,19,04-2015,,
290,48,20,Rap,,
291,49,16,Bích Phương,,
292,49,17,Brick Fun,,
293,49,18,"['Mình yêu nhau đi','Gửi anh xa nhớ','Phai dấu cuộc tình','Nụ hồng mong manh','Có khi nào rời xa','Chuyện cũ bỏ qua','Nói thương nhau thì đừng làm trái tim em đau','Thích thì chơi']",,
294,49,19,03-2016,,
295,49,20,Nhạc trẻ,,
296,50,16,Bích Phương,,
297,50,17,Green Tea,,
298,50,18,"['Chỉ là em giấu đi','Đoản xuân ca','Sâu trong em','Rằng em mãi ở bên','Vâng anh đi đi','Em muốn','Nếu hạnh phúc không phải em','Đưa em đi khắp thế gian','Có lẽ em','Có khi nào rời xa','Nơi nào có anh']",,
299,50,19,07-2019,,
300,50,20,Nhạc trẻ,,
301,51,21,Bằng Kiều,,
302,51,22,Thúy Nga,,
303,51,23,"['Rồi mai tôi đưa em','Hạ trắng','Dầu tình sầu','Phôi pha','Mắt biếc','Bài không tên số 2','Thu hát cho người','Lệ đá']",,
304,51,24,04-2011,,
305,51,25,Nhạc vàng,,
306,52,21,Bằng Kiều,,
307,52,22,Thúy Nga,,
308,52,23,"['Nhớ','Nuối tiếc','Mùa thu ru em','Tiếng mưa đêm','Nếu xa nhau','Cơn mưa phùn','Quên đi tình yêu cũ','Về đây em']",,
309,52,24,09-2012,,
310,52,25,Nhạc vàng,,
